,home_team,home_score,home_scorers,away_team,away_score,away_scorers
3743,Wigan Athletic,0,[],Fulham,2,"['Dempsey', 'Demb?l?']"
3744,Everton,0,[],Manchester United,1,['Hernandez']
3745,Sunderland,2,"['Wickham', 'Sessegnon']",Aston Villa,2,"['Petrov', 'Dunne']"
3746,West Bromwich Albion,0,[],Liverpool,2,"['Adam', 'Carroll']"
3747,Chelsea,3,"['Lampard', 'Terry', 'Mata']",Arsenal,5,"['Persie', 'Santos', 'Walcott', 'Persie', 'Persie']"
3748,Fulham,1,['Ruiz'],Everton,3,"['Drenthe', 'Rodwell', 'Saha']"
3749,Blackburn Rovers,1,['Formica'],Tottenham Hotspur,2,"['Vaart', 'Vaart']"
3750,Arsenal,3,"['Gervinho', 'Persie', 'Persie']",Stoke City,1,['Crouch']
3751,Queens Park Rangers,1,['Helguson'],Chelsea,0,[]
3752,Manchester United,1,['Fletcher'],Manchester City,6,"['Balotelli', 'Balotelli', 'Ag?ero', 'Silva', 'Dzeko', 'g']"
3753,Aston Villa,1,['Bent'],West Bromwich Albion,2,"['Olsson', 'Scharner']"
3754,Bolton Wanderers,0,[],Sunderland,2,"['Sessegnon', 'Bendtner']"
3755,Wolverhampton,2,"['Doyle', ""O'Hara""]",Swansea City,2,"['Graham', 'Allen']"
3756,Newcastle United,1,['Cabaye'],Wigan Athletic,0,[]
3757,Liverpool,1,['Bellamy'],Norwich City,1,['Holt']
3758,Arsenal,2,"['Persie', 'Persie']",Sunderland,1,['Larsson']
3759,West Bromwich Albion,2,"['Brunt', 'Odemwingie']",Wolverhampton,0,[]
3760,Newcastle United,2,"['Ba', 'Ameobi']",Tottenham Hotspur,2,"['Vaart', 'Defoe']"
3761,Stoke City,2,"['Walters', 'Delap']",Fulham,0,[]
3762,Chelsea,3,"['Sturridge', 'Terry', 'Ramires']",Everton,1,['Vellios']
3763,Wigan Athletic,1,['Diame'],Bolton Wanderers,3,"['Reo-Coker', 'N`Gog', 'Eagles']"
3764,Norwich City,3,"['Pilkington', 'Martin', 'Pilkington']",Swansea City,1,['Graham']
3765,Queens Park Rangers,1,['Helguson'],Blackburn Rovers,1,['Samba']
3766,Manchester City,4,"['Balotelli', 'Johnson', 'Kompany', 'Milner']",Aston Villa,1,['Warnock']
3767,Liverpool,1,['Gerrard'],Manchester United,1,['Hernandez']
3768,Fulham,6,"['Johnson', 'Murphy', 'Johnson', 'Johnson', 'Dempsey', 'Zamora']",Queens Park Rangers,0,[]
3769,Tottenham Hotspur,2,"['Vaart', 'Walker']",Arsenal,1,['Ramsey']
3770,Swansea City,2,"['Sinclair', 'Graham']",Stoke City,0,[]
3771,Bolton Wanderers,1,['Boyata'],Chelsea,5,"['Sturridge', 'Lampard', 'Sturridge', 'Lampard', 'Lampard']"
3772,Manchester United,2,"['Anderson', 'Welbeck']",Norwich City,0,[]
3773,Aston Villa,2,"['Agbonlahor', 'Bent']",Wigan Athletic,0,[]
3774,Everton,0,[],Liverpool,2,"['Carroll', 'Suarez']"
3775,Sunderland,2,"['Bendtner', 'Mohamady']",West Bromwich Albion,2,"['Morrison', 'Long']"
3776,Wolverhampton,1,['Fletcher'],Newcastle United,2,"['Ba', 'Guti?rrez']"
3777,Blackburn Rovers,0,[],Manchester City,4,"['Johnson', 'Balotelli', 'Nasri', 'Savic']"
3778,Norwich City,2,"['Barnett', 'Morison']",Sunderland,1,['Richardson']
3779,Wigan Athletic,1,['Diame'],Tottenham Hotspur,2,"['Vaart', 'Bale']"
3780,Arsenal,3,"['Persie', 'Persie', 'Song']",Bolton Wanderers,0,[]
3781,Stoke City,1,['Crouch'],Manchester United,1,['Nani']
3782,West Bromwich Albion,0,[],Fulham,0,[]
3783,Newcastle United,3,"['Ba', 'Ba', 'Ba']",Blackburn Rovers,1,['Hoilett']
3784,Manchester City,2,"['Balotelli', 'Milner']",Everton,0,[]
3785,Chelsea,4,"['Torres', 'Ramires', 'Ramires', 'Drogba']",Swansea City,1,['Williams']
3786,Manchester United,3,"['Smalling', 'Nani', 'Rooney']",Chelsea,1,['Torres']
3787,Fulham,2,"['Zamora', 'Murphy']",Manchester City,2,"['Ag?ero', 'Ag?ero']"
